,Line 1 Street Address,coordinates
1935,3061 FILLMORE ST San Francisco,"(37.7979021, -122.4358035)"
2002,3400 LAGUNA ST San Francisco,"(37.802903, -122.431016)"
2020,95 KIRKHAM San Francisco,"(37.7602792, -122.4614954)"
2022,400 PARNASSUS AVE San Francisco,"(37.7642921, -122.4574255)"
2023,8 KORET WAY San Francisco,"(37.7618902, -122.4603156)"
2024,1001 POTRERO AVE San Francisco,"(37.7558047, -122.4044432)"
2027,2200 POST ST San Francisco,"(37.7848051, -122.438446)"
2030,1001 POTRERO AVE BLDG 80 WARD San Francisco,"(37.75732199999999, -122.406107)"
2031,533 PARNASSUS AVE San Francisco,"(37.7627313, -122.4595179)"
2033,595 CASTRO ST San Francisco,"(37.7594879, -122.434561)"
2034,400 PAMASSUS AVE San Francisco,"(37.7642921, -122.4574255)"
2035,500 PARNASSUS AVE San Francisco,"(37.7638367, -122.4584643)"
2046,533 KORET WAY San Francisco,"(37.7614071, -122.4602237)"
2047,1569 SLOAT ST San Francisco,"(37.7327711, -122.4910939)"
2048,533 PAMASSUS AVE San Francisco,"(37.7627313, -122.4595179)"
2052,10 KORET WAY San Francisco,"(37.7618314, -122.460715)"
2065,6850 GEARY BLVD San Francisco,"(37.7799148, -122.4930148)"
2066,2395 LOMBARD ST San Francisco,"(37.7990429, -122.440741)"
2073,2356 SUTTER ST San Francisco,"(37.7854607, -122.4392968)"
2081,1600 DIVISADERO ST San Francisco,"(37.7848533, -122.4391778)"
2100,1701 DIVISADERO ST San Francisco,"(37.7854864, -122.4402223)"
2101,2330 POST ST San Francisco,"(37.7845315, -122.4404208)"
2110,2 EMBARCADERO CTR San Francisco,"(37.7949888, -122.3986798)"
2112,2620 MISSION ST San Francisco,"(37.7550792, -122.4191408)"
2114,2211 BUSH ST San Francisco,"(37.7867379, -122.4339033)"
2129,659 COMMERCIAL ST San Francisco,"(37.7939873, -122.4040358)"
2134,400 PAMASSUS San Francisco,"(37.7642921, -122.4574255)"
2136,3901 23RD ST San Francisco,"(37.75304089999999, -122.4300472)"
2149,8 KIRHAM AVE San Francisco,"(37.760575, -122.4606914)"
2169,369 PINE ST San Francisco,"(37.7917381, -122.4020234)"
2178,3885 24TH ST San Francisco,"(37.7514255, -122.4292748)"
2208,707 PARNASSUS AVE San Francisco,"(37.7616482, -122.4610073)"
2255,521 PAMASSUS AVE San Francisco,"(37.7627531, -122.4594386)"
2266,501 2ND ST San Francisco,"(37.7831809, -122.392966)"
2276,4879 MISSION ST San Francisco,"(37.7202839, -122.4378267)"
2290,559 CLAY ST San Francisco,"(37.794497, -122.402524)"
2313,1575 7TH AVE San Francisco,"(37.7589483, -122.4641118)"
2320,1001 BRANNAN ST San Francisco,"(37.7696679, -122.4069356)"
2328,110 SUTTER ST San Francisco,"(37.7902183, -122.4027228)"
2346,1520 STOCKTON ST San Francisco,"(37.7999537, -122.4087581)"
2350,291 GEARY ST San Francisco,"(37.7872196, -122.407987)"
2436,3440 CALIFORNIA ST San Francisco,"(37.7869584, -122.4510272)"
2437,332 PINE ST San Francisco,"(37.7922085, -122.4015524)"
2450,360 POST ST San Francisco,"(37.7886546, -122.4076944)"
2487,50 POST ST San Francisco,"(37.7891638, -122.4029793)"
2518,201 SPEAR ST San Francisco,"(37.791226, -122.3919664)"
2538,525 SPRUCE ST San Francisco,"(37.7858556, -122.4539281)"
2539,45 CASTRO ST DAVIS CAMPUS San Francisco,"(37.7683574, -122.4345272)"
2580,305 SCOTT ST San Francisco,"(37.7726038, -122.4358707)"
2596,3490 20TH ST San Francisco,"(37.7588011, -122.4188483)"
2604,160 CAPP ST San Francisco,"(37.7641193, -122.4189111)"
2635,119 BUSH ST San Francisco,"(37.7912204, -122.4005043)"
2663,1400 GEARY BLVD San Francisco,"(37.7855853, -122.4264471)"
2686,789 VALLEJO ST San Francisco,"(37.7983116, -122.4101261)"
2705,220 SANSOME ST San Francisco,"(37.7923002, -122.4007171)"
2745,2410 CALIFORNIA ST San Francisco,"(37.7890972, -122.4344283)"
2758,ONE DANIEL BURNHAM CT San Francisco,"(37.7867744, -122.4224906)"
2778,3580 CALIFORNIA ST San Francisco,"(37.7867302, -122.4529886)"
2780,2919 MISSION ST San Francisco,"(37.7502618, -122.4179888)"
2860,1635 DIVISADERO ST San Francisco,"(37.7845771, -122.4400777)"
2884,5822 GEARY BLVD San Francisco,"(37.7804393, -122.4819734)"
2951,595 BUCKINGHAM AVE San Francisco,"(37.730463, -122.4763874)"
2973,4306 GEARY BLVD San Francisco,"(37.7811958, -122.4656022)"
2996,3150 18TH ST San Francisco,"(37.7627026, -122.4142811)"
3058,2380 SUTTER ST San Francisco,"(37.7854232, -122.4396478)"
3081,919 CLAY ST San Francisco,"(37.7938673, -122.4082051)"
3090,569 GEARY ST San Francisco,"(37.7865565, -122.4126125)"
3116,1250 HAYES ST San Francisco,"(37.7754412, -122.437149)"
3142,2 CONNECTICUT ST San Francisco,"(37.766116, -122.398154)"
3172,555 FRONT ST San Francisco,"(37.7964733, -122.3996946)"
3220,2324 SACRAMENTO ST San Francisco,"(37.7906738, -122.4315872)"
3308,1360 9TH AVE San Francisco,"(37.762922, -122.4659696)"
3309,112 CORONA ST San Francisco,"(37.72375600000001, -122.466166)"
3322,1336 VAN NESS AVE San Francisco,"(37.7882124, -122.4216117)"
3334,3641 SACRAMENTO ST San Francisco,"(37.7872019, -122.4526518)"
3432,1580 VALENCIA LANE San Francisco,"(37.7467537, -122.4205679)"
3471,350 RHODE ISLAND San Francisco,"(37.7656342, -122.4033872)"
3638,1721 SCOTT ST San Francisco,"(37.7859713, -122.4385512)"
3681,619 IRVING ST San Francisco,"(37.7639522, -122.4646037)"
3718,98 GOUGH ST San Francisco,"(37.77392, -122.4221823)"
3762,2595 MISSION ST San Francisco,"(37.7556262, -122.4185118)"
3846,3030 GEARY BLVD San Francisco,"(37.78216099999999, -122.4517902)"
